decision,reason,logical_object_ids,scan_ids,categories,confidence,source_track_ids,frame_ranges,selected_bboxes,simultaneously_visible,overlap_frames,temporal_gap,trajectory_distance,endpoint_iou,overlapping_frame_iou_avg,overlapping_frame_iou_max,width_ratio,height_ratio,aspect_ratio,class_vote_similarity,object_crop_appearance_status,object_crop_appearance_score,simultaneous_low_iou_separate,strong_overlap_switch,selected_canonical_scan_id,thresholds
separated,temporal gap 141 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,9978d2a2-6017-5348-b3e4-54318380a8f0 | bdc32c7f-2040-5063-85fc-f582b42bff6e,cardboard | cardboard,0.9593 | 0.6382,"[""1""] | [""40""]",0-94 | 235-239,"[0.000112, 0.0, 0.999608, 0.99892] | [0.354298, 0.624363, 0.595239, 0.80584]",False,0,141,0.2209,0.0447,,,0.2404,0.181,0.7529,0.9518,appearance compared successfully,0.6475,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,simultaneous low-IoU boxes for 67 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003,6d78f2ab-b633-5385-a9f3-1bed91099431 | 2f31120a-78f3-5941-bdb0-10e521d54923,metal | plastic,0.7054 | 0.7921,"[""3"", ""5""] | [""10"", ""23""]",49-174 | 104-170,"[0.42245, 0.478037, 0.904651, 0.567147] | [0.152403, 0.000518, 0.499877, 0.10817]",True,67,0,0.1551,0.2417,0.0,0.0,0.911,0.5472,0.8537,0.2637,appearance compared successfully,0.5411,True,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,simultaneous low-IoU boxes for 30 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004,6d78f2ab-b633-5385-a9f3-1bed91099431 | 4d2f42ba-27c6-515e-a89e-5c51463b80a9,metal | plastic,0.7054 | 0.4667,"[""3"", ""5""] | [""11""]",49-174 | 111-140,"[0.42245, 0.478037, 0.904651, 0.567147] | [0.238957, 0.670522, 0.942991, 0.99131]",True,30,0,0.7285,0.0,0.0,0.0,0.4675,0.2923,0.6328,0.2508,appearance compared successfully,0.4885,True,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,temporal overlap 10 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005,6d78f2ab-b633-5385-a9f3-1bed91099431 | 0e73ec90-0d86-58d3-ae3b-15c0b901852a,metal | cardboard,0.7054 | 0.6919,"[""3"", ""5""] | [""12"", ""13""]",49-174 | 119-128,"[0.42245, 0.478037, 0.904651, 0.567147] | [0.168886, 0.000352, 0.606813, 0.2273]",True,10,0,0.1321,0.318,0.0,0.0,0.7391,0.3845,0.5294,0.1133,appearance compared successfully,0.6127,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,simultaneous low-IoU boxes for 20 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,6d78f2ab-b633-5385-a9f3-1bed91099431 | 16c70c74-caab-5a7f-af06-6b71a5a4855a,metal | plastic,0.7054 | 0.7522,"[""3"", ""5""] | [""22""]",49-174 | 154-173,"[0.42245, 0.478037, 0.904651, 0.567147] | [0.195801, 0.199486, 0.339554, 0.279785]",True,20,0,0.3084,0.0,0.0113,0.0354,0.4091,0.7931,0.5244,0.2821,appearance compared successfully,0.4795,True,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,simultaneous low-IoU boxes for 17 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,6d78f2ab-b633-5385-a9f3-1bed91099431 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,metal | cardboard,0.7054 | 0.9281,"[""3"", ""5""] | [""26"", ""42""]",49-174 | 158-301,"[0.42245, 0.478037, 0.904651, 0.567147] | [0.335834, 0.723128, 0.58891, 0.94547]",True,17,0,0.8746,0.0,0.0,0.0,0.8487,0.5477,0.521,0.1163,appearance compared successfully,0.6425,True,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,temporal overlap 8 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,6d78f2ab-b633-5385-a9f3-1bed91099431 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,metal | plastic,0.7054 | 0.7023,"[""3"", ""5""] | [""28"", ""33"", ""46""]",49-174 | 167-301,"[0.42245, 0.478037, 0.904651, 0.567147] | [0.286432, 0.371353, 0.632567, 0.660795]",True,8,0,0.6486,0.0,0.0,0.0,0.9089,0.3086,0.3481,0.282,appearance compared successfully,0.6648,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,6d78f2ab-b633-5385-a9f3-1bed91099431 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,metal | plastic,0.7054 | 0.8253,"[""3"", ""5""] | [""35"", ""37""]",49-174 | 194-299,"[0.42245, 0.478037, 0.904651, 0.567147] | [0.073478, 0.923937, 0.341892, 0.999582]",False,0,20,0.9256,0.0,,,0.615,0.6963,0.8964,0.2821,appearance compared successfully,0.5146,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,6d78f2ab-b633-5385-a9f3-1bed91099431 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,metal | cardboard,0.7054 | 0.4171,"[""3"", ""5""] | [""38"", ""39""]",49-174 | 224-231,"[0.42245, 0.478037, 0.904651, 0.567147] | [0.282319, 0.356168, 0.634773, 0.648162]",False,0,50,0.4069,0.0,,,0.9605,0.3338,0.3518,0.0,appearance compared successfully,0.6737,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,6d78f2ab-b633-5385-a9f3-1bed91099431 | bdc32c7f-2040-5063-85fc-f582b42bff6e,metal | cardboard,0.7054 | 0.6382,"[""3"", ""5""] | [""40""]",49-174 | 235-239,"[0.42245, 0.478037, 0.904651, 0.567147] | [0.354298, 0.624363, 0.595239, 0.80584]",False,0,61,0.6188,0.0,,,0.7128,0.5389,0.3888,0.1634,appearance compared successfully,0.6817,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
