decision,reason,logical_object_ids,scan_ids,categories,confidence,source_track_ids,frame_ranges,selected_bboxes,simultaneously_visible,overlap_frames,temporal_gap,trajectory_distance,endpoint_iou,overlapping_frame_iou_avg,overlapping_frame_iou_max,width_ratio,height_ratio,aspect_ratio,class_vote_similarity,object_crop_appearance_status,object_crop_appearance_score,simultaneous_low_iou_separate,strong_overlap_switch,selected_canonical_scan_id,thresholds
separated,simultaneous low-IoU boxes for 30 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004,2f31120a-78f3-5941-bdb0-10e521d54923 | 4d2f42ba-27c6-515e-a89e-5c51463b80a9,plastic | plastic,0.7921 | 0.4667,"[""10"", ""23""] | [""11""]",104-170 | 111-140,"[0.152403, 0.000518, 0.499877, 0.10817] | [0.238957, 0.670522, 0.942991, 0.99131]",True,30,0,0.8738,0.0,0.0,0.0,0.5132,0.5341,0.7412,0.8596,appearance compared successfully,0.5309,True,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,temporal overlap 10 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005,2f31120a-78f3-5941-bdb0-10e521d54923 | 0e73ec90-0d86-58d3-ae3b-15c0b901852a,plastic | cardboard,0.7921 | 0.6919,"[""10"", ""23""] | [""12"", ""13""]",104-170 | 119-128,"[0.152403, 0.000518, 0.499877, 0.10817] | [0.168886, 0.000352, 0.606813, 0.2273]",True,10,0,0.1852,0.0431,0.8608,0.8933,0.8113,0.7027,0.6202,0.7007,appearance compared successfully,0.4587,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,simultaneous low-IoU boxes for 17 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,2f31120a-78f3-5941-bdb0-10e521d54923 | 16c70c74-caab-5a7f-af06-6b71a5a4855a,plastic | plastic,0.7921 | 0.7522,"[""10"", ""23""] | [""22""]",104-170 | 154-173,"[0.152403, 0.000518, 0.499877, 0.10817] | [0.195801, 0.199486, 0.339554, 0.279785]",True,17,0,0.2291,0.0,0.0,0.0,0.3727,0.434,0.6143,0.9348,appearance compared successfully,0.4525,True,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,simultaneous low-IoU boxes for 13 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,2f31120a-78f3-5941-bdb0-10e521d54923 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,plastic | cardboard,0.7921 | 0.9281,"[""10"", ""23""] | [""26"", ""42""]",104-170 | 158-301,"[0.152403, 0.000518, 0.499877, 0.10817] | [0.335834, 0.723128, 0.58891, 0.94547]",True,13,0,0.9916,0.0,0.0,0.0,0.7732,0.999,0.6103,0.709,appearance compared successfully,0.6395,True,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,2f31120a-78f3-5941-bdb0-10e521d54923 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,plastic | plastic,0.7921 | 0.7023,"[""10"", ""23""] | [""28"", ""33"", ""46""]",104-170 | 167-301,"[0.152403, 0.000518, 0.499877, 0.10817] | [0.286432, 0.371353, 0.632567, 0.660795]",True,4,0,0.7639,0.0,0.0,0.0,0.9976,0.564,0.4077,0.9392,appearance compared successfully,0.539,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,2f31120a-78f3-5941-bdb0-10e521d54923 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,plastic | plastic,0.7921 | 0.8253,"[""10"", ""23""] | [""35"", ""37""]",104-170 | 194-299,"[0.152403, 0.000518, 0.499877, 0.10817] | [0.073478, 0.923937, 0.341892, 0.999582]",False,0,24,0.9519,0.0,,,0.5603,0.381,0.9524,0.9348,appearance compared successfully,0.5356,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,2f31120a-78f3-5941-bdb0-10e521d54923 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,0.7921 | 0.4171,"[""10"", ""23""] | [""38"", ""39""]",104-170 | 224-231,"[0.152403, 0.000518, 0.499877, 0.10817] | [0.282319, 0.356168, 0.634773, 0.648162]",False,0,54,0.5195,0.0,,,0.9485,0.6101,0.412,0.3552,appearance compared successfully,0.5402,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,2f31120a-78f3-5941-bdb0-10e521d54923 | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,0.7921 | 0.6382,"[""10"", ""23""] | [""40""]",104-170 | 235-239,"[0.152403, 0.000518, 0.499877, 0.10817] | [0.354298, 0.624363, 0.595239, 0.80584]",False,0,65,0.731,0.0,,,0.6494,0.9848,0.4554,0.8309,appearance compared successfully,0.6436,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,temporal overlap 10 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 0e73ec90-0d86-58d3-ae3b-15c0b901852a,plastic | cardboard,0.4667 | 0.6919,"[""11""] | [""12"", ""13""]",111-140 | 119-128,"[0.238957, 0.670522, 0.942991, 0.99131] | [0.168886, 0.000352, 0.606813, 0.2273]",True,10,0,0.4754,0.0,0.0,0.0,0.6326,0.7601,0.8367,0.4307,appearance compared successfully,0.5665,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 16c70c74-caab-5a7f-af06-6b71a5a4855a,plastic | plastic,0.4667 | 0.7522,"[""11""] | [""22""]",111-140 | 154-173,"[0.238957, 0.670522, 0.942991, 0.99131] | [0.195801, 0.199486, 0.339554, 0.279785]",False,0,14,0.4455,0.0,,,0.1913,0.2318,0.8288,0.889,appearance compared successfully,0.6778,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,plastic | cardboard,0.4667 | 0.9281,"[""11""] | [""26"", ""42""]",111-140 | 158-301,"[0.238957, 0.670522, 0.942991, 0.99131] | [0.335834, 0.723128, 0.58891, 0.94547]",False,0,18,0.3755,0.0,,,0.3968,0.5336,0.8233,0.4397,appearance compared successfully,0.5913,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,plastic | plastic,0.4667 | 0.7023,"[""11""] | [""28"", ""33"", ""46""]",111-140 | 167-301,"[0.238957, 0.670522, 0.942991, 0.99131] | [0.286432, 0.371353, 0.632567, 0.660795]",False,0,27,0.1535,0.1814,,,0.5144,0.947,0.5501,0.8899,appearance compared successfully,0.6018,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,plastic | plastic,0.4667 | 0.8253,"[""11""] | [""35"", ""37""]",111-140 | 194-299,"[0.238957, 0.670522, 0.942991, 0.99131] | [0.073478, 0.923937, 0.341892, 0.999582]",False,0,54,0.4904,0.0,,,0.2875,0.2035,0.7059,0.889,appearance compared successfully,0.6378,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,0.4667 | 0.4171,"[""11""] | [""38"", ""39""]",111-140 | 224-231,"[0.238957, 0.670522, 0.942991, 0.99131] | [0.282319, 0.356168, 0.634773, 0.648162]",False,0,84,0.1229,0.286,,,0.4868,0.8756,0.5559,0.0803,appearance compared successfully,0.6015,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,temporal gap 95 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,0.4667 | 0.6382,"[""11""] | [""40""]",111-140 | 235-239,"[0.238957, 0.670522, 0.942991, 0.99131] | [0.354298, 0.624363, 0.595239, 0.80584]",False,0,95,0.1285,0.1413,,,0.3332,0.5424,0.6144,0.5804,appearance compared successfully,0.6063,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 16c70c74-caab-5a7f-af06-6b71a5a4855a,cardboard | plastic,0.6919 | 0.7522,"[""12"", ""13""] | [""22""]",119-128 | 154-173,"[0.168886, 0.000352, 0.606813, 0.2273] | [0.195801, 0.199486, 0.339554, 0.279785]",False,0,26,0.177,0.0218,,,0.3024,0.305,0.9905,0.4017,appearance compared successfully,0.6607,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,cardboard | cardboard,0.6919 | 0.9281,"[""12"", ""13""] | [""26"", ""42""]",119-128 | 158-301,"[0.168886, 0.000352, 0.606813, 0.2273] | [0.335834, 0.723128, 0.58891, 0.94547]",False,0,30,0.8733,0.0,,,0.6273,0.702,0.984,0.9999,appearance compared successfully,0.5314,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,trajectory discontinuity,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 1dea76dd-dad1-5662-89fb-610ee65f1e31,cardboard | plastic,0.6919 | 0.7023,"[""12"", ""13""] | [""28"", ""33"", ""46""]",119-128 | 167-301,"[0.168886, 0.000352, 0.606813, 0.2273] | [0.286432, 0.371353, 0.632567, 0.660795]",False,0,39,0.6437,0.0,,,0.8132,0.8026,0.6575,0.4132,appearance compared successfully,0.4955,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,0e73ec90-0d86-58d3-ae3b-15c0b901852a | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,cardboard | plastic,0.6919 | 0.8253,"[""12"", ""13""] | [""35"", ""37""]",119-128 | 194-299,"[0.168886, 0.000352, 0.606813, 0.2273] | [0.073478, 0.923937, 0.341892, 0.999582]",False,0,66,0.8699,0.0,,,0.4545,0.2677,0.5906,0.4017,appearance compared successfully,0.4827,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,temporal gap 96 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,cardboard | cardboard,0.6919 | 0.4171,"[""12"", ""13""] | [""38"", ""39""]",119-128 | 224-231,"[0.168886, 0.000352, 0.606813, 0.2273] | [0.282319, 0.356168, 0.634773, 0.648162]",False,0,96,0.3948,0.0,,,0.7695,0.8681,0.6644,0.9158,appearance compared successfully,0.504,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,temporal gap 107 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,0e73ec90-0d86-58d3-ae3b-15c0b901852a | bdc32c7f-2040-5063-85fc-f582b42bff6e,cardboard | cardboard,0.6919 | 0.6382,"[""12"", ""13""] | [""40""]",119-128 | 235-239,"[0.168886, 0.000352, 0.606813, 0.2273] | [0.354298, 0.624363, 0.595239, 0.80584]",False,0,107,0.6114,0.0,,,0.5268,0.7136,0.7343,0.9792,appearance compared successfully,0.5557,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,simultaneous low-IoU boxes for 16 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,16c70c74-caab-5a7f-af06-6b71a5a4855a | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,plastic | cardboard,0.7522 | 0.9281,"[""22""] | [""26"", ""42""]",154-173 | 158-301,"[0.195801, 0.199486, 0.339554, 0.279785] | [0.335834, 0.723128, 0.58891, 0.94547]",True,16,0,0.7988,0.0,0.0,0.0,0.482,0.4344,0.9934,0.4123,appearance compared successfully,0.4369,True,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,temporal overlap 7 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,16c70c74-caab-5a7f-af06-6b71a5a4855a | 1dea76dd-dad1-5662-89fb-610ee65f1e31,plastic | plastic,0.7522 | 0.7023,"[""22""] | [""28"", ""33"", ""46""]",154-173 | 167-301,"[0.195801, 0.199486, 0.339554, 0.279785] | [0.286432, 0.371353, 0.632567, 0.660795]",True,7,0,0.5767,0.0,0.0,0.0,0.3718,0.2448,0.6637,0.9999,appearance compared successfully,0.495,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,16c70c74-caab-5a7f-af06-6b71a5a4855a | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,plastic | plastic,0.7522 | 0.8253,"[""22""] | [""35"", ""37""]",154-173 | 194-299,"[0.195801, 0.199486, 0.339554, 0.279785] | [0.073478, 0.923937, 0.341892, 0.999582]",False,0,21,0.7397,0.0,,,0.6652,0.8779,0.585,1.0,appearance compared successfully,0.5004,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,16c70c74-caab-5a7f-af06-6b71a5a4855a | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,0.7522 | 0.4171,"[""22""] | [""38"", ""39""]",154-173 | 224-231,"[0.195801, 0.199486, 0.339554, 0.279785] | [0.282319, 0.356168, 0.634773, 0.648162]",False,0,51,0.3483,0.0,,,0.3929,0.2647,0.6708,0.0,appearance compared successfully,0.4979,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,16c70c74-caab-5a7f-af06-6b71a5a4855a | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,0.7522 | 0.6382,"[""22""] | [""40""]",154-173 | 235-239,"[0.195801, 0.199486, 0.339554, 0.279785] | [0.354298, 0.624363, 0.595239, 0.80584]",False,0,62,0.5438,0.0,,,0.5739,0.4274,0.7413,0.5792,appearance compared successfully,0.4256,False,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
separated,simultaneous low-IoU boxes for 135 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,9e371ee9-be8d-5636-9889-071ffa3f4cc4 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,cardboard | plastic,0.9281 | 0.7023,"[""26"", ""42""] | [""28"", ""33"", ""46""]",158-301 | 167-301,"[0.335834, 0.723128, 0.58891, 0.94547] | [0.286432, 0.371353, 0.632567, 0.660795]",True,135,0,0.188,0.1505,0.0029,0.0841,0.7714,0.5634,0.6681,0.4238,appearance compared successfully,0.6627,True,False,,"{""appearance_similarity"": 0.82, ""center_distance"": 0.18, ""iou"": 0.08, ""max_gap"": 90, ""max_overlap_frames"": 5, ""meaningful_overlap_frames"": 12, ""min_appearance_similarity"": 0.45, ""overlap_iou"": 0.3, ""size_ratio"": 0.65, ""strong_center_distance"": 0.12, ""strong_overlap_iou"": 0.9, ""strong_overlap_max_frames"": 10, ""strong_size_ratio"": 0.7}"
