decision,final_reason,object_ids,scan_ids,categories,source_track_ids,appearance_score,appearance_status,simultaneously_visible,overlap_frames,overlapping_frame_iou_max,overlapping_frame_iou_avg,raw_trajectory_distance,stabilized_trajectory_distance,stabilized_coordinates_used,trajectory_distance,iou,size_ratio,aspect_ratio,class_vote_similarity,canonical_scan_id
merge,same physical object evidence accepted,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003,9978d2a2-6017-5348-b3e4-54318380a8f0 | 2f31120a-78f3-5941-bdb0-10e521d54923,cardboard | plastic,"[[""1""], [""10"", ""23""]]",,appearance unavailable,False,0,,,0.3191,0.1829,True,0.1829,0.1785,0.1783,0.3429,0.6213,2f31120a-78f3-5941-bdb0-10e521d54923
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,9978d2a2-6017-5348-b3e4-54318380a8f0 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,cardboard | plastic,"[[""1""], [""28"", ""33"", ""46""]]",,appearance unavailable,False,0,,,0.2271,0.7035,True,0.7035,0.0868,0.3161,0.8409,0.3149,
separate,temporal gap 100 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,9978d2a2-6017-5348-b3e4-54318380a8f0 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,cardboard | plastic,"[[""1""], [""35"", ""37""]]",,appearance unavailable,False,0,,,0.5497,1.037,True,1.037,0.0188,0.0679,0.3265,0.3028,
separate,temporal gap 130 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,9978d2a2-6017-5348-b3e4-54318380a8f0 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,cardboard | cardboard,"[[""1""], [""38"", ""39""]]",,appearance unavailable,False,0,,,0.0406,0.6874,True,0.6874,0.1031,0.2922,0.8321,0.9525,
separate,temporal gap 141 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,9978d2a2-6017-5348-b3e4-54318380a8f0 | bdc32c7f-2040-5063-85fc-f582b42bff6e,cardboard | cardboard,"[[""1""], [""40""]]",,appearance unavailable,False,0,,,0.204,0.943,True,0.943,0.0447,0.181,0.7529,0.9518,
separate,temporal overlap 67 is meaningful,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003,6d78f2ab-b633-5385-a9f3-1bed91099431 | 2f31120a-78f3-5941-bdb0-10e521d54923,metal | plastic,"[[""3"", ""5""], [""10"", ""23""]]",0.5981,appearance compared successfully,True,67,0.0,0.0,0.145,0.3592,True,0.3592,0.2417,0.5472,0.8537,0.2637,
separate,temporal overlap 30 is meaningful,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004,6d78f2ab-b633-5385-a9f3-1bed91099431 | 4d2f42ba-27c6-515e-a89e-5c51463b80a9,metal | plastic,"[[""3"", ""5""], [""11""]]",0.6059,appearance compared successfully,True,30,0.0,0.0,0.6896,0.3935,True,0.3935,0.0,0.2923,0.6328,0.2508,
separate,temporal overlap 10 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005,6d78f2ab-b633-5385-a9f3-1bed91099431 | 0e73ec90-0d86-58d3-ae3b-15c0b901852a,metal | cardboard,"[[""3"", ""5""], [""12"", ""13""]]",0.6017,appearance compared successfully,True,10,0.0,0.0,0.1321,0.3031,True,0.3031,0.318,0.3845,0.5294,0.1133,
separate,temporal overlap 20 is meaningful,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,6d78f2ab-b633-5385-a9f3-1bed91099431 | 16c70c74-caab-5a7f-af06-6b71a5a4855a,metal | plastic,"[[""3"", ""5""], [""22""]]",0.5762,appearance compared successfully,True,20,0.0354,0.0113,0.3001,0.2978,True,0.2978,0.0,0.4091,0.5244,0.2821,
separate,temporal overlap 17 is meaningful,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,6d78f2ab-b633-5385-a9f3-1bed91099431 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,metal | cardboard,"[[""3"", ""5""], [""26"", ""42""]]",0.6815,appearance compared successfully,True,17,0.0,0.0,0.8467,0.8029,True,0.8029,0.0,0.5477,0.521,0.1163,
separate,temporal overlap 8 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,6d78f2ab-b633-5385-a9f3-1bed91099431 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,metal | plastic,"[[""3"", ""5""], [""28"", ""33"", ""46""]]",0.7042,appearance compared successfully,True,8,0.0,0.0,0.6076,0.6071,True,0.6071,0.0,0.3086,0.3481,0.282,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,6d78f2ab-b633-5385-a9f3-1bed91099431 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,metal | plastic,"[[""3"", ""5""], [""35"", ""37""]]",0.5628,appearance compared successfully,False,0,,,0.9062,0.9837,True,0.9837,0.0,0.615,0.8964,0.2821,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,6d78f2ab-b633-5385-a9f3-1bed91099431 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,metal | cardboard,"[[""3"", ""5""], [""38"", ""39""]]",0.6853,appearance compared successfully,False,0,,,0.3619,0.5903,True,0.5903,0.0,0.3338,0.3518,0.0,
