decision,final_reason,object_ids,scan_ids,categories,source_track_ids,appearance_score,appearance_status,simultaneously_visible,overlap_frames,overlapping_frame_iou_max,overlapping_frame_iou_avg,raw_trajectory_distance,stabilized_trajectory_distance,stabilized_coordinates_used,trajectory_distance,iou,size_ratio,aspect_ratio,class_vote_similarity,canonical_scan_id
separate,simultaneous low-IoU boxes for 30 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004,6d78f2ab-b633-5385-a9f3-1bed91099431 | 4d2f42ba-27c6-515e-a89e-5c51463b80a9,metal | plastic,"[[""3"", ""5""], [""11""]]",0.6121,appearance compared successfully,True,30,0.0,0.0,0.7285,0.3786,True,0.3786,0.0,0.2923,0.6328,0.2508,
separate,temporal overlap 10 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005,6d78f2ab-b633-5385-a9f3-1bed91099431 | 0e73ec90-0d86-58d3-ae3b-15c0b901852a,metal | cardboard,"[[""3"", ""5""], [""12"", ""13""]]",0.6173,appearance compared successfully,True,10,0.0,0.0,0.1321,0.3475,True,0.3475,0.318,0.3845,0.5294,0.1133,
separate,simultaneous low-IoU boxes for 20 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,6d78f2ab-b633-5385-a9f3-1bed91099431 | 16c70c74-caab-5a7f-af06-6b71a5a4855a,metal | plastic,"[[""3"", ""5""], [""22""]]",0.5859,appearance compared successfully,True,20,0.0354,0.0113,0.3084,0.311,True,0.311,0.0,0.4091,0.5244,0.2821,
separate,simultaneous low-IoU boxes for 17 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,6d78f2ab-b633-5385-a9f3-1bed91099431 | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,metal | cardboard,"[[""3"", ""5""], [""26"", ""42""]]",0.6856,appearance compared successfully,True,17,0.0,0.0,0.8746,0.7988,True,0.7988,0.0,0.5477,0.521,0.1163,
separate,temporal overlap 8 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,6d78f2ab-b633-5385-a9f3-1bed91099431 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,metal | plastic,"[[""3"", ""5""], [""28"", ""33"", ""46""]]",0.7216,appearance compared successfully,True,8,0.0,0.0,0.6486,0.6158,True,0.6158,0.0,0.3086,0.3481,0.282,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,6d78f2ab-b633-5385-a9f3-1bed91099431 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,metal | plastic,"[[""3"", ""5""], [""35"", ""37""]]",0.5661,appearance compared successfully,False,0,,,0.9256,0.9969,True,0.9969,0.0,0.615,0.8964,0.2821,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,6d78f2ab-b633-5385-a9f3-1bed91099431 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,metal | cardboard,"[[""3"", ""5""], [""38"", ""39""]]",0.6902,appearance compared successfully,False,0,,,0.4069,0.6175,True,0.6175,0.0,0.3338,0.3518,0.0,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0002 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,6d78f2ab-b633-5385-a9f3-1bed91099431 | bdc32c7f-2040-5063-85fc-f582b42bff6e,metal | cardboard,"[[""3"", ""5""], [""40""]]",0.6934,appearance compared successfully,False,0,,,0.6188,0.8772,True,0.8772,0.0,0.5389,0.3888,0.1634,
separate,simultaneous low-IoU boxes for 30 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004,2f31120a-78f3-5941-bdb0-10e521d54923 | 4d2f42ba-27c6-515e-a89e-5c51463b80a9,plastic | plastic,"[[""10"", ""23""], [""11""]]",0.6615,appearance compared successfully,True,30,0.0,0.0,0.8738,0.5333,True,0.5333,0.0,0.5132,0.7412,0.8596,
separate,temporal overlap 10 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005,2f31120a-78f3-5941-bdb0-10e521d54923 | 0e73ec90-0d86-58d3-ae3b-15c0b901852a,plastic | cardboard,"[[""10"", ""23""], [""12"", ""13""]]",0.6868,appearance compared successfully,True,10,0.8933,0.8608,0.1852,0.1554,True,0.1554,0.0431,0.7027,0.6202,0.7007,
